18.415,12.826,8.1169,24.89,10.609,26.802,18.23,2.5559,-0.68485,14.807,11.724,14.555,-7.639,-63.406,-52.859,10.561,3.2538,-0.87184,10.483,19.821,-58.224,212.35,507.78,533.45,36.566,-6.8137,1.8257,19.109,-35.16,328.81,910.71,540.2,554.07,837.86,53.268,-14.273,-9.0836,-23.388,873.9,303.31,21.328,-58.125,798.77,119.21,-31.944,6.7612,-57.499,785.21,388.27,-48.955,-150.33,711.93,121.35,-32.514,11.306,4.7934,60.344,727.8,725.53,471.8,995.87,105.59,-28.294,3.0794,3.4908,2.5989,7.544,261.29,547.3,242.33,4.2195,-1.1306,-0.82512,-0.93537,-1.9771,8.6729,-59.748,-45.761,-39.042,2.4001,-0.64311
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0158,-2.1635,0.92087,-11.86,-80.569,-81.301,-70.173,-0.051425,-0.67225,11.11,16.958,-25.977,117.93,664.02,764.54,481.76,-9.4592,4.9056,11.198,-26.093,254.3,998.12,926.96,588.46,1057,510.82,-40.677,10.785,-29.822,282.84,1062.3,823.07,516.25,1100.9,394.48,-19.687,21.58,23.004,-2.099,177.76,834.8,944.02,499.28,33.085,15.125,9.4986,8.8995,3.1111,3.6501,3.4795,1.1693,5.4664,3.125,3.9245,-2.5452,-2.3846,-0.83362,-0.97805,-0.93232,-0.31332,-1.4647,-0.83735,-1.0516
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053504,0.72345,-11.353,-57.331,-78.501,-88.272,-84.655,-9.7608,2.6154,5.5987,-2.3625,68.566,360.31,681.69,732.86,722.34,73.328,-19.648,13.442,-63.238,567.06,746.67,366.82,74.21,637.86,321.39,-86.115,6.8647,-78.158,743.01,503.54,122.01,144.85,979.47,286.91,-76.878,20.613,18.202,82.797,561.48,519.53,567.97,333.61,4.8714,-1.3053,9.444,8.4337,4.3713,2.1161,5.3026,7.9134,7.9101,2.1432,-0.57427,-2.5305,-2.2598,-1.1713,-0.567,-1.4208,-2.1204,-2.1195,-0.57427,0.15388
0,0,0,0,-0.36005,4.361,10.774,1.9594,-0.52502,0,0,0,0,-0.6465,6.9394,20.894,2.6485,-0.70967,-0.71635,-0.91859,-1.299,7.6509,-53.634,-74.612,-42.096,-20.343,5.4509,8.6618,8.1026,6.1823,-89.308,376.62,749.16,871.82,149.49,-40.056,20.861,17.994,10.496,725.64,739.52,285.02,1047.5,241.41,-64.685,6.8267,-64.247,656.08,719.61,666.26,1038.6,500.11,16.037,-4.2971,10.876,-56.52,593.23,731.92,572.3,181.72,19.433,5.6555,-1.5154,6.6935,7.4872,26.967,41.447,3.4641,1.9211,7.1562,1.197,-0.32072,-1.7935,-2.0062,-7.2257,-11.106,-0.92819,-0.51476,-1.9175,-0.32072,0.085937
0,0,-0.31264,3.6249,11.802,11.104,10.631,3.2418,-0.86862,0,0,-0.31737,3.4708,14.114,22.824,13.448,2.8674,-0.76831,-0.41133,-1.3123,5.7404,-29.893,-64.472,-33.119,-52.834,-4.246,1.1377,5.8469,10.23,-37.096,296.94,780.34,954.51,779.56,72.289,-19.37,12.298,-57.775,517.42,903.33,285.96,25.683,740.14,333.62,-89.393,7.3541,-74.797,760.49,514.16,-53.645,283.26,957.02,222.92,-59.731,20.613,18.202,59.124,668.96,911.51,807.73,182.82,10.283,-2.7554,9.444,8.4337,3.6075,-5.1998,86.71,18.885,4.5012,0.56541,-0.1515,-2.5305,-2.2598,-0.96662,1.3933,-23.234,-5.0603,-1.2061,-0.1515,0.040595
0,0,-0.35492,8.3806,14.167,13.157,16.852,5.4849,-1.4697,0,0,-0.46211,9.7031,23.285,6.7059,20.493,6.8315,-1.8305,0.058911,-0.59748,1.1772,-60.7,-16.291,135.55,21.587,-38.073,0.32921,5.3045,13.678,-64.215,510.48,787.14,890.53,980.58,364.94,-36.208,17.922,-33.435,347.14,766.97,80.034,-43.711,402.01,603.48,-19.979,17.183,-59.852,541.52,527.62,-75.775,-40.888,852.2,384.56,-65.195,23.29,-19.531,299.69,953.3,709.14,889.11,498.41,20.207,-5.4144,1.7887,3.4776,0.59438,107.07,126.4,70.596,2.5753,2.6659,-0.71434,-0.47927,-0.93182,-0.15926,-28.69,-33.869,-18.916,-0.69006,-0.71434,0.19141
0,0,-2.0613,11.483,14.381,4.1713,15.921,5.157,-1.3818,0,0,-1.8299,12.91,14.702,-2.5028,19.761,5.2116,-1.3965,-1.3425,-2.5198,2.3333,-67.671,64.225,140.61,6.1104,-20.17,5.4045,6.5828,14.525,-48.064,617.99,1012,903.36,947.16,168.61,-45.179,24.306,-45.535,604.4,791.34,170.6,-60.94,772.66,321.53,-86.154,9.4409,-62.906,647.12,952.29,58.007,-71.261,927.64,306.92,-82.238,14.46,19.663,-23.982,721.49,952.45,925.9,899.18,41.493,-11.118,3.3833,2.5954,5.0465,-1.1289,258.92,311.2,40.771,3.1098,-0.83326,-0.90657,-0.69542,-1.3522,0.30249,-69.378,-83.384,-10.925,-0.83326,0.22327
0,0,-2.7131,15.968,14.52,11.374,14.752,13.792,11.013,0,0,-2.5313,19.357,-21.231,-65.859,-66.194,-7.5311,18.049,-0.37941,-0.91967,5.5564,-69.717,220.02,714.72,599.17,138.93,-16.608,4.6436,13.979,-69.863,500.16,1021.2,533.39,745.46,555.27,-39.86,17.548,-29.684,315.17,1033.5,663.69,-5.7765,421.38,600.96,-43.171,9.1005,-63.33,491.56,663.24,-59.456,-106.21,764.4,490.91,-47.299,24.999,-40.673,415.17,993.47,747.75,924.49,659.85,54.547,9.3738,12.849,11.542,2.4752,258.32,335.98,187.26,16.098,3.6108,3.7943,-3.4428,-3.0928,-0.66323,-69.216,-90.024,-50.177,-4.3135,-0.96751,-1.0167
0,0,-0.42733,6.2019,29.367,16.813,9.9872,4.2057,-1.1269,0,0,-1.7687,17.697,-21.479,-65.649,-8.3542,4.9364,-1.3227,-0.40937,5.0533,-37.886,-80.052,301.85,720.55,157.26,-14.6,3.9121,2.9899,-25.407,185.48,788.43,1008.3,721.21,1001.9,191.54,-51.322,8.0036,-67.07,731,821.72,161.68,-97.953,779.47,320.37,-85.842,20.554,-68.181,768.81,149.47,-32.401,246.28,1063.7,339.56,-90.985,23.429,-45.422,554.79,963.24,978.67,1051.9,760.72,67.114,-17.983,7.3626,6.2341,0.9421,205.12,301.28,105.13,9.6821,2.1219,-0.56855,-1.9728,-1.6704,-0.25243,-54.963,-80.727,-28.171,-2.5943,-0.56855,0.15234
0,0,-2.6342,13.564,8.9768,9.8814,13.283,5.0422,-1.3511,0,0,-1.9917,13.906,14.153,1.9088,21.919,4.3122,-1.1554,-2.8738,-3.5668,-1.7203,-67.379,43.643,190.94,-17.302,-6.0566,0.94773,19.325,15.888,18.447,527.37,803.7,614.68,916.54,108.88,-10.577,9.6176,-71.166,483.28,903.63,130.76,-10.808,328.57,558.07,-38.929,13.127,-8.7197,178.95,844.59,182.36,-84.111,181.21,621.53,-34.13,13.365,13.431,-3.8127,227.84,825.08,699.06,870.99,317.26,-33.168,6.1761,6.9,4.2566,-3.2725,54.221,125.25,109.13,3.3856,5.3211,-1.6549,-1.8488,-1.1405,0.87687,-14.529,-33.56,-29.24,-0.90716,-1.4258
