-2.8627,-2.5167,-2.9453,-15.146,87.906,-4.2057,367.91,207.18,-248.45,-190.84,-261.44,-226.51,-22.972,0,0
0,0,0,0,29.344,-146.06,194.18,187.97,-189.53,-444.9,35.327,-23.611,89.595,0,0
-14.863,-0.036456,0.96017,-32.012,211.57,-6.5976,112.21,1.0676,-75.134,29.381,90.702,86.853,2.9779,0,0
14.549,11.266,-12.753,39.991,-119.65,-35.714,-376.38,-259.57,-253.61,220.34,-85.586,-235.97,6.6471,0,0
0,0,0,0,3.308,0.74047,26.637,-224.32,302.26,61.261,349.66,4.3268,-87.944,0,0
0,0,0,0,-15.771,138.55,-267.95,-310.51,-191.69,-75.957,-238.23,91.675,-33.012,0,0
0,0,0,0,-9.0155,365.04,-16,-44.102,110.28,231.85,-50.766,6.9772,1.884,0,0
0,0,0,0,23.471,-117.04,308.88,322.45,-313.24,-83.179,44.419,-17.348,33.016,0,0
-1.75,-6.6208,-11.752,-2.4103,-47.402,129.87,276.61,15.756,-151.77,-123.48,-120.38,-184.3,17.077,0,0
-45.629,-6.1954,-162.3,-45.63,154.75,94.553,3.7702,-208.44,124.87,-305.52,-28.254,-55.398,1.201,0,0
0,0,0,0,-1.6444,22.374,26.908,137.97,-369.44,87.47,-139.54,-38.187,29.151,0,0
0,0,0,0,-28.015,136.36,166.09,-179.94,-255.33,-80.539,-137.74,-147.17,22.693,0,0
-47.5,-18.386,-11.423,29.595,258.25,-64.314,-81.028,319.95,-266.45,-138.26,192.6,-55.972,182.34,-77.474,-29.527
0,0,0,0,-19.324,164.73,67.336,-138.69,-80.229,-50.675,-28.133,-44.157,29.555,0,0
23.549,-5.4695,20.226,30.295,-95.169,-80.45,-70.734,5.5564,163.24,66.653,-91.559,-10.076,4.7925,0,0
-11.25,4.6699,-1.4851,-40.315,203.77,-228.82,198.94,145.92,-302.22,70.437,-80.766,-86.645,3.7075,0,0
0,0,0,0,23.95,-130.51,-45.668,-102.03,100.28,-123.5,-175.72,110.81,112.21,0,0
1.8849,-11.275,2.62,26.563,-129.43,-159.8,256.24,74.439,335.83,208.71,182.27,-144.21,-96.364,0,0
-4.1151,-2.1046,-1.2933,39.707,113.64,90.949,71.606,21.085,-197.03,159.63,213.72,-54.036,-13.399,0,0
3,4.1651,-2.134,-9.9724,51.743,211.16,-7.3999,158.16,5.2997,-118.56,-95.349,-51.175,-35.556,0,0
17.135,18.575,-78.9,112.34,-128.28,33.174,351.13,-353.24,-53.857,-88.336,-255.25,-42.668,47.597,0,0
-4.5,19.072,3.6261,-36.073,182.82,176.88,332.62,334.28,-123.08,-54.982,-107.12,-26.643,44.932,0.28925,-77.686
0,0,0,0,7.1193,-37.451,128.08,-130.43,204.84,-1.2216,-191.26,18.972,4.5589,0,0
-1.5,-0.96891,-1.2518,3.0407,40.363,188.45,-0.93198,18.185,303.71,199.72,101.21,-61.493,-41.05,0,0
-2.5,-6.9348,1.5753,21.906,-202,19.071,343.98,44.231,-118.8,-233.04,71.92,23.476,36.489,0,0
3.299,3.3445,-15.815,16.855,66.056,126.58,-113.78,-266.31,49.362,4.5588,-96.454,237,-17.599,0,0
8.8382,14.612,19.847,-6.988,225.68,43.665,-129.31,-117.04,-253.9,-423.63,-83.301,-174.3,-87.067,48.837,-24.936
-5.25,7.9869,0.52628,-3.997,61.712,158.11,228.56,164.36,16.308,60.519,-62.123,95.257,0.99223,0,0
17.5,3.8319,3.9851,9.2207,-24.004,178.13,-136.07,-11.912,120.3,6.8868,-267.11,27.563,35.576,84.883,15.25
-12.158,-14.474,17.128,-123.88,7.9694,-315.74,-158.33,-83.277,422.37,222.8,342.8,235.07,12.603,0,0
0,0,0,0,23.018,-125.45,-54.169,-132.07,305.07,228.13,141.34,68.785,24.809,0,0
0,0,0,0,-34.013,-79.501,-214.58,157.15,215.68,-170.14,104.95,1.8089,-15.904,0,0
4.9273,-10.597,3.1445,36.382,-87.995,159.54,109.94,145.75,62.219,140.61,-131.13,115.83,-139.35,0,0
-1.8382,-1.5984,-1.6573,-0.44856,21.858,215.21,201.19,97.524,41.023,144.52,-272.47,-296.68,118.13,0,0
0,0,0,0,-16.993,202.37,-225.66,12.986,-278.82,303.98,-22.103,-12.687,15.205,0,0
-4.5,1.6962,-12.172,16.667,-120.49,60.227,103.37,-101.7,-134,428.96,30.508,46.224,-65.568,0,0
0,0,0,0,-17.012,86.739,-253.96,-138.09,115.38,102.13,-34.615,133.85,9.8558,0,0
0,0,0,0,-42.34,-95.383,-55.12,-75.836,-264.81,-29.414,131.79,120.27,-12.828,0,0
-7.701,2.9719,40.022,82.012,-160.89,166.02,242.98,75.222,-9.5745,200.67,-88.542,216.63,85.614,0,0
0,0,0,0,2.029,-17.328,-227.33,-14.847,-11.53,89.09,-14.74,-42.402,7.7742,0,0
-11.25,4.6699,-1.4851,-40.315,183.4,16.303,109.56,-141.94,-132.5,-154.99,144.08,-23.228,36.526,0,0
0,0,0,0,7.383,-5.3876,95.513,100.34,-195.61,-217.82,-124.26,-63.459,26.388,0,0
0,0,0,0,2.9258,-93.399,121.32,69.933,259.7,-177.93,-1.883,31.629,-17.417,0,0
0,0,0,0,-21.772,188.67,-241.86,59.572,318.38,-398.27,-107.39,-25.012,13.125,0,0
2.75,2.8056,-2.6716,-5.6848,35.137,72.558,-103.65,152.13,-106.35,19.341,36.261,70.031,-4.6627,0,0
-8.25,-3.8989,24.423,-64.776,41.472,-71.904,-9.3009,-96.848,-158.87,-85.133,61.7,219.64,-10.572,0,0
0,0,0,0,-26.634,194.01,-64.55,128.34,-42.042,-276.35,73.717,31.109,13.594,0,0
30.56,37.767,23.525,-120.49,2.9677,-48.768,3.9151,130.28,-95.947,-60.953,312.57,-45.83,-7.6905,0,0
0,0,0,0,11.478,59.528,4.1403,-14.88,-154.85,26.751,52.217,0.87356,19.662,0,0
0,0,0,0,18.235,-188.28,447.29,-117.51,-319.5,57.132,-81.022,6.9444,19.443,0,0
-12,8.6029,0.93477,-24.601,180.42,-499.23,380.99,-50.192,321.14,457.92,-346.45,-65.752,-54.655,122.08,-21.5
-12,8.6029,0.93477,-24.601,183.56,-78.596,35.363,-226.45,121.66,323.05,146.44,66.88,23.582,0,0
0,0,0,0,10.539,41.99,-202.19,328.53,38.227,-110.05,-8.7045,43.936,-22.56,0,0
0,0,0,0,-3.3463,5.8614,-150.79,19.295,-43.776,-2.5943,174.71,-0.36931,-5.7087,0,0
0,0,0,0,-3.2745,9.0006,-433.82,109.36,28.338,7.0684,78.069,-23.103,5.8379,0,0
