-1.9118,-5.9458,25.433,-10.621,49.853,386.39,422.73,130.09,119.24,27.76,-37.603,82.594,-236.34,-99.644,8.924
0,0,0,0,13.28,-15.349,-214.12,-437.9,-166.84,-58.723,53.159,71.889,36.983,0,0
-30.863,-23.424,32.277,-14.285,-272.92,213.51,11.005,-173.84,7.627,-257.98,-161.72,254.93,8.5927,0,0
0,0,0,0,29.927,-128.14,70.882,336.7,-26.087,-2.9788,-173.56,57.629,-5.6495,0,0
0.75,11.085,3.0998,-32.076,146.29,-115.2,-69.192,-241.96,78.541,-18.77,34.848,-137.06,-73.881,0,0
1.5,0.96891,1.2518,-3.0407,-74.314,-272.57,-74.222,-2.3223,150.61,342.2,-186.14,-97.523,6.4432,0,0
3.6373,1.7039,-11.697,37.496,164.67,-271.46,-532.34,-341.94,648.62,287.59,-10.768,27.278,56.802,0,0
0,0,0,0,-24.546,-229.3,-249.2,-164.31,-188.41,-52.99,-223.39,-253.59,-114,0,0
0,0,0,0,-25.131,221.44,355.46,-117.71,76.753,96.001,90.551,-230.51,-51.432,0,0
0,0,0,0,-33.832,197.02,-376.49,718.53,599.7,-154.88,-227.82,-3.9499,284.84,59.709,8.308
2.75,2.8056,-2.6716,-5.6848,-0.095821,123.75,-109.72,-59.073,156.02,242.16,159.25,-10.316,9.1623,0,0
-10.387,-7.918,10.465,-14.72,-250.63,173.58,116.73,-169.04,78.706,250.72,-41.285,2.1226,-4.0066,0,0
-2.25,-3.1585,4.1388,26.489,-88.695,37.242,-75.43,-4.8381,-94.366,-36.123,-71.352,-135.4,170.41,92.629,-21.878
0,0,0,0,-15.316,-183.49,-306.52,112.89,-37.937,-172.35,-178.08,-47.074,196.56,0,0
-1.5,-10.441,31.692,-140.71,-54.342,-47.428,1.0873,-277.37,-245.58,414.18,227.92,268.37,62.798,19.472,-5
-0.25,8.2189,17.178,-11.835,19.346,237.56,-20.425,369.6,-282.67,-6.8773,215.15,25.709,-232.21,-80.511,-16
0,0,0,0,2.3227,-61.14,79.592,-120.16,318.84,-333.46,-94.737,-27.779,4.7476,-14.703,-22.854
1,0.01971,-11.404,-2.1913,18.727,-59.934,-328.96,453.96,133.66,-3.02,-179.76,-88.28,41.59,13.497,6.3571
5.1651,0.31907,-10.041,77.132,67.778,-49.808,-87.367,-250.17,-240.11,-700.03,-36.78,-127.05,-20.28,0,0
5.5,3.5442,-8.2189,15.801,-63.594,-184.68,-30.291,-18.356,28.652,98.45,291.5,49.763,-3.009,0,0
16.5,9.7828,-13.6,17.415,6.8948,328.18,81.101,351.48,401.8,352.46,-34.417,-263.48,-67.798,0,0
1.076,-0.83045,-3.1905,1.6675,-12.935,233.4,-305.62,158.22,131.49,-4.5736,25.582,268.29,251.43,49.658,6.8995
12,-8.6029,-0.93477,24.601,-178.22,-16.26,-110.53,-287.95,-199.92,63.096,155.69,-7.0323,-19.721,0,0
-0.75,5.567,-7,27.828,-150.86,-256.8,186.85,-193.43,-192.53,127.17,200.92,247.57,262.09,59.709,8.308
31,34.082,2.5328,6.7636,-88.077,125.51,-178.39,-14.309,-90.432,-20.689,-166.07,-63.819,5.3926,0,0
